FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
12/02/2018,FACEBK  A69RXEAPW2,20.00
12/02/2018,SMITH & LOW LTD,6.95
12/02/2018,PAR GROUP,153.89
12/02/2018,EXECUTIVE SECURITY,14.62
12/02/2018,UNION STREET CAR PARK,1.50
12/02/2018,BMA VARSITY LTD,138.00
12/02/2018,WARLANDS,50.00
12/02/2018,TESCO STORES 6167,15.00
12/02/2018,RIVER ISLAND 097,35.00
12/02/2018,LYRECO UK LTD,18.28
12/02/2018,SAINSBURYS SACAT 0730,4.00
13/02/2018,,282.83
09/02/2018,PRET A MANGER,9.84
10/02/2018,AMAZON UK MARKETPLACE,44.31
11/02/2018,AMAZON UK MARKETPLACE,31.99
11/02/2018,AMAZON EU,111.30
09/02/2018,HOMEBASE LTD 091,9.99
09/02/2018,SCREWFIX DIRECT,53.80
09/02/2018,SELFSERVE TICKET,121.00
09/02/2018,HOTJAR,26.51
09/02/2018,DSA THEORY TEST,37.00
09/02/2018,WWW.WELDINGSUPERSTORE.,720.00
11/02/2018,WWW.MINDTOOLS.COM,17.00
09/02/2018,ARGOS LTD,59.99
09/02/2018,BMA VARSITY LTD,74.40
08/02/2018,CARDS GALORE,2.99
09/02/2018,APL /001TAXIS,5.25
09/02/2018,APL /001TAXIS,9.85
09/02/2018,WEMBLEY PARK,24.00
09/02/2018,WEMBLEY PARK,24.00
09/02/2018,HILTON,4.98
09/02/2018,CIPFA FINANCE,195.00
09/02/2018,RAPIDSPIKE,22.74
09/02/2018,DUNELM LTD,79.98
09/02/2018,HILTON,34.11
08/02/2018,AMAZON UK MARKETPLACE,5.99
06/02/2018,MAILCLARKAI,28.98
08/02/2018,EMMAUS,120.00
08/02/2018,PAYPAL  TONGWEIPING,43.80
08/02/2018,HOMEBASE LTD 091,9.50
08/02/2018,GRANT AND STONE,159.98
08/02/2018,AMAZON UK MARKETPLACE,99.85
08/02/2018,SAINSBURYS TO YOU 0683,298.67
08/02/2018,ARTSWORK,80.00
08/02/2018,TRAINLINE,74.75
08/02/2018,SAINSBURYS SACAT 6211,4.40
08/02/2018,SMITH & LOW LTD,10.99
08/02/2018,DSA THEORY TEST,26.00
08/02/2018,SCREWFIX DIRECT,79.99
07/02/2018,RIBA ENTERPRISES LTD,106.84
07/02/2018,PAYPAL  CASS ART,28.45
07/02/2018,PINNACLE RESPONSE LTD,714.00
07/02/2018,AMAZON UK MARKETPLACE,19.49
06/02/2018,AMAZON SVCS EU-UK AMAZ,16.98
07/02/2018,EXECUTIVE SECURITY,23.03
07/02/2018,TAXI FARE BY VERIFONE,26.18
07/02/2018,VERIFONE TAXI/PRIVATE,25.80
07/02/2018,STARBUCKS,6.35
07/02/2018,WWW.AVPARTMASTER.NET,998.39
07/02/2018,WWW.AVPARTMASTER.NET,94.67
07/02/2018,WWW.AVPARTMASTER.NET,-10.79
07/02/2018,AMAZON UK MARKETPLACE,5.94
07/02/2018,AMAZON UK MARKETPLACE,57.67
07/02/2018,RADISSON BLU,119.00
07/02/2018,SAFE.CO.UK,98.40
07/02/2018,AMAZON SVCS EU-UK AMAZ,62.94
07/02/2018,COMPANIES HOUSE,13.00
06/02/2018,TRAINLINE,72.80
06/02/2018,WWW.ARGOS.CO.UK,424.93
06/02/2018,WWW.ARGOS.CO.UK,179.99
07/02/2018,AMAZON EU,8.33
06/02/2018,GWR OXFORD TO,71.30
06/02/2018,WWW.ARGOS.CO.UK,181.92
